target,steps,waste,sample,buffer
835,10,4,3,3
836,8,3,4,1
836,8,4,3,3
837,10,3,4,1
837,10,4,3,3
838,9,3,4,1
838,9,4,3,3
839,10,3,4,1
839,10,4,3,3
840,7,3,4,1
840,7,4,3,3
841,10,3,4,1
841,10,4,3,3
842,9,3,4,1
842,9,4,3,3
843,10,3,4,1
843,10,4,3,3
844,8,3,4,1
844,8,4,3,3
845,10,3,4,1
845,10,5,3,4
846,9,3,4,1
846,9,4,3,3
847,10,3,4,1
847,10,5,3,4
848,6,2,3,1
849,10,3,4,1
849,10,5,3,4
850,9,3,4,1
850,9,5,3,4
851,10,3,4,1
851,10,5,3,4
852,8,2,3,1
853,10,2,3,1
854,9,2,3,1
855,10,3,4,1
856,7,2,3,1
857,10,3,4,1
858,9,3,4,1
859,10,3,4,1
860,8,3,4,1
861,10,3,4,1
862,9,3,4,1
863,10,3,4,1
864,5,2,3,1
865,10,3,4,1
866,9,3,4,1
867,10,3,4,1
868,8,3,4,1
869,10,3,4,1
870,9,3,4,1
871,10,3,4,1
872,7,3,4,1
873,10,3,4,1
874,9,3,4,1
875,10,3,4,1
876,8,3,4,1
877,10,3,4,1
878,9,3,4,1
879,10,3,4,1
880,6,3,4,1
881,10,3,4,1
882,9,3,4,1
883,10,3,4,1
884,8,3,4,1
885,10,3,4,1
886,9,3,4,1
887,10,3,4,1
888,7,3,4,1
889,10,3,4,1
890,9,3,4,1
891,10,3,4,1
892,8,3,4,1
893,10,3,4,1
894,9,3,4,1
895,10,3,4,1
896,3,2,3,1
897,10,3,4,1
898,9,3,4,1
899,10,3,4,1
900,8,3,4,1
901,10,3,4,1
902,9,3,4,1
903,10,3,4,1
904,7,3,4,1
905,10,3,4,1
906,9,3,4,1
907,10,3,4,1
908,8,3,4,1
909,10,3,4,1
910,9,3,4,1
911,10,4,5,1
911,10,5,4,3
912,6,3,4,1
913,10,3,4,1
914,9,3,4,1
915,10,3,4,1
916,8,3,4,1
917,10,3,4,1
918,9,3,4,1
919,10,3,4,1
920,7,3,4,1
921,10,4,5,1
921,10,5,4,3
922,9,4,5,1
922,9,5,4,3
923,10,4,5,1
923,10,5,4,3
924,8,3,4,1
925,10,4,5,1
925,10,5,4,3
926,9,4,5,1
926,9,5,4,3
927,10,4,5,1
927,10,5,4,3
928,5,3,4,1
929,10,4,5,1
929,10,5,4,3
930,9,4,5,1
930,9,5,4,3
931,10,4,5,1
931,10,5,4,3
932,8,4,5,1
932,8,5,4,3
933,10,4,5,1
933,10,5,4,3
934,9,4,5,1
934,9,5,4,3
935,10,4,5,1
935,10,5,4,3
936,7,3,4,1
937,10,4,5,1
937,10,6,4,4
938,9,3,4,1
939,10,3,4,1
940,8,3,4,1
941,10,4,5,1
942,9,4,5,1
943,10,4,5,1
944,6,3,4,1
945,10,4,5,1
946,9,4,5,1
947,10,4,5,1
948,8,4,5,1
949,10,4,5,1
950,9,4,5,1
951,10,4,5,1
952,7,4,5,1
953,10,4,5,1
954,9,4,5,1
955,10,4,5,1
956,8,4,5,1
957,10,4,5,1
958,9,4,5,1
959,10,4,5,1
960,4,3,4,1
961,10,4,5,1
962,9,4,5,1
963,10,4,5,1
964,8,4,5,1
965,10,4,5,1
966,9,4,5,1
967,10,4,5,1
968,7,4,5,1
969,10,4,5,1
970,9,4,5,1
971,10,4,5,1
972,8,4,5,1
973,10,5,6,1
973,10,6,5,3
974,9,4,5,1
975,10,5,6,1
975,10,6,5,3
976,6,4,5,1
977,10,5,6,1
977,10,6,5,3
978,9,5,6,1
978,9,6,5,3
979,10,5,6,1
979,10,6,5,3
980,8,4,5,1
981,10,4,5,1
982,9,4,5,1
983,10,5,6,1
984,7,4,5,1
985,10,5,6,1
986,9,5,6,1
987,10,5,6,1
988,8,5,6,1
989,10,5,6,1
990,9,5,6,1
991,10,5,6,1
992,5,4,5,1
993,10,5,6,1
994,9,5,6,1
995,10,5,6,1
996,8,5,6,1
997,10,5,6,1
998,9,5,6,1
999,10,5,6,1
1000,7,5,6,1
1001,10,6,7,1
1001,10,7,6,3
1002,9,5,6,1
1003,10,5,6,1
